epoch,train_loss
0.01122,2.396
0.02244,1.658
0.03366,1.65
0.04488,1.569
0.0561,1.533
0.06732,1.553
0.07854,1.525
0.08976,1.673
0.101,1.58
0.1122,1.551
0.1234,1.69
0.1346,1.547
0.1459,1.515
0.1571,1.578
0.1683,1.625
0.1795,1.67
0.1907,1.547
0.202,1.636
0.2132,1.592
0.2244,1.576
0.2356,1.581
0.2468,1.678
0.2581,1.529
0.2693,1.486
0.2805,1.592
0.2917,1.595
0.3029,1.578
0.3142,1.629
0.3254,1.609
0.3366,1.589
0.3478,1.45
0.359,1.428
0.3703,1.618
0.3815,1.463
0.3927,1.626
0.4039,1.562
0.4151,1.55
0.4264,1.645
0.4376,1.579
0.4488,1.616
0.46,1.466
0.4712,1.507
0.4825,1.544
0.4937,1.538
0.5049,1.504
0.5161,1.548
0.5273,1.434
0.5386,1.651
0.5498,1.611
0.561,1.559
0.5722,1.515
0.5835,1.412
0.5947,1.541
0.6059,1.501
0.6171,1.578
0.6283,1.494
0.6396,1.603
0.6508,1.593
0.662,1.565
0.6732,1.461
0.6844,1.512
0.6957,1.536
0.7069,1.507
0.7181,1.482
0.7293,1.532
0.7405,1.523
0.7518,1.503
0.763,1.53
0.7742,1.653
0.7854,1.49
0.7966,1.595
0.8079,1.545
0.8191,1.532
0.8303,1.591
0.8415,1.613
0.8527,1.546
0.864,1.472
0.8752,1.623
0.8864,1.504
0.8976,1.592
0.9088,1.592
0.9201,1.506
0.9313,1.468
0.9425,1.627
0.9537,1.543
0.9649,1.449
0.9762,1.51
0.9874,1.485
0.9986,1.493
